Title,Release Date,Rating,Times Listed,Number of Reviews,Genres,Plays,Wishlist
BioShock,"Aug 21, 2007",4,1800,1800,"['Adventure', 'RPG', 'Shooter']",1700,1200
Devil May Cry,"Aug 23, 2001",3.5,1200,1200,['Brawler'],1000,1100
Psychonauts 2,"Aug 24, 2021",4.2,1200,1200,"['Adventure', 'Platform']",4300,2300
Batman: Arkham Asylum,"Aug 25, 2009",3.9,1400,1400,"['Adventure', 'Brawler']",1700,672
EarthBound,"Aug 27, 1994",4.2,1900,1900,"['Adventure', 'RPG', 'Turn Based Strategy']",900,1800
Control,"Aug 27, 2019",3.6,1300,1300,"['Adventure', 'Shooter']",9600,1300
Xenoblade Chronicles 2,"Dec 01, 2017",3.9,1400,1400,"['Adventure', 'RPG']",7400,1500
No More Heroes,"Dec 06, 2007",4,1200,1200,"['Adventure', 'Brawler']",5600,1800
Super Smash Bros. Ultimate,"Dec 07, 2018",4.1,2500,2500,"['Fighting', 'Platform']",2500,801
Cyberpunk 2077,"Dec 09, 2020",3.3,1500,1500,"['Adventure', 'RPG', 'Shooter']",1300,2900
Doom,"Dec 10, 1993",4,1400,1400,['Shooter'],1100,514
Hades,"Dec 10, 2019",4.3,2900,2900,"['Adventure', 'Brawler', 'Indie', 'RPG']",2100,3600
Mega Man X,"Dec 17, 1993",4.1,1200,1200,"['Adventure', 'Platform', 'Shooter']",6900,385
Kingdom Hearts II,"Dec 22, 2005",4.3,1200,1200,"['Adventure', 'RPG']",9600,652
Omori,"Dec 25, 2020",4.2,1600,1600,"['Adventure', 'Indie', 'RPG', 'Turn Based Strategy']",7200,3800
Demon's Souls,"Feb 05, 2009",4.1,1200,1200,"['Adventure', 'RPG']",5500,1200
Shadow of the Colossus,"Feb 06, 2018",4.1,1100,1100,"['Adventure', 'Platform', 'Puzzle']",7800,1600
Metroid: Zero Mission,"Feb 09, 2004",4,1200,1200,"['Adventure', 'Platform', 'Shooter']",7500,700
Metal Gear Rising: Revengeance,"Feb 19, 2013",4.1,2100,2100,"['Adventure', 'Brawler', 'Shooter', 'Strategy']",1400,200
Shin Megami Tensei: Nocturne,"Feb 20, 2003",4.2,1100,1100,['RPG'],4100,1300
The Legend of Zelda,"Feb 21, 1986",3.2,1200,1200,['Adventure'],9300,463
Night in the Woods,"Feb 21, 2017",4,1100,1100,"['Adventure', 'Indie', 'Platform']",600,1500
Silent Hill,"Feb 23, 1999",4.1,1300,1300,"['Adventure', 'Puzzle']",6800,1600
NieR: Automata,"Feb 23, 2017",4.3,2900,2900,"['Brawler', 'RPG']",1800,3600
Hollow Knight,"Feb 24, 2017",4.4,300,300,"['Adventure', 'Indie', 'Platform']",2100,2300
Elden Ring,"Feb 25, 2022",4.5,3900,3900,"['Adventure', 'RPG']",1700,4800
BioShock Infinite,"Feb 26, 2013",3.5,1500,1500,"['Adventure', 'Shooter']",1800,949
Stardew Valley,"Feb 26, 2016",4.1,1700,1700,"['Indie', 'RPG', 'Simulator', 'Strategy']",2000,1100
Horizon Zero Dawn,"Feb 28, 2017",3.6,1200,1200,"['Adventure', 'RPG', 'Shooter']",1300,1400
Resident Evil 4,"Jan 11, 2005",4.3,2300,2300,['Shooter'],1400,1200
Yakuza: Like a Dragon,"Jan 16, 2020",4.3,1600,1600,"['Adventure', 'RPG', 'Turn Based Strategy']",600,2800
Resident Evil 2,"Jan 21, 1998",4.2,1100,1100,"['Adventure', 'Shooter']",5500,597
Yakuza Kiwami,"Jan 21, 2016",3.7,1200,1200,"['Adventure', 'Brawler', 'RPG']",9700,100
Resident Evil 7: Biohazard,"Jan 24, 2017",3.9,1800,1800,"['Adventure', 'Shooter']",1300,1300
Celeste,"Jan 25, 2018",4.2,2800,2800,"['Adventure', 'Indie', 'Platform']",2000,200
Resident Evil 2,"Jan 25, 2019",4.3,2500,2500,"['Adventure', 'Shooter']",1500,1900
Kingdom Hearts III,"Jan 25, 2019",3.5,1100,1100,"['Adventure', 'Brawler', 'RPG']",8100,1100
Mass Effect 2,"Jan 26, 2010",4.3,1300,1300,"['Adventure', 'RPG', 'Shooter']",9600,645
Pok̩mon Legends: Arceus,"Jan 28, 2022",3.7,1600,1600,"['Adventure', 'RPG', 'Turn Based Strategy']",9100,2100
Life is Strange,"Jan 29, 2015",3.4,1400,1400,"['Adventure', 'RPG']",1500,817
Final Fantasy VII,"Jan 31, 1997",4.2,2900,2900,"['Adventure', 'RPG', 'Turn Based Strategy']",1500,1500
Super Smash Bros. Brawl,"Jan 31, 2008",3.8,1300,1300,"['Fighting', 'Platform']",1900,250
Final Fantasy IX,"Jul 07, 2000",4.3,1600,1600,"['RPG', 'Turn Based Strategy']",6800,1200
Ghost of Tsushima,"Jul 17, 2020",4.1,1400,1400,"['Adventure', 'Brawler', 'RPG']",8500,3100
Final Fantasy X,"Jul 19, 2001",4.1,1500,1500,"['Adventure', 'RPG']",8500,990
Super Mario Sunshine,"Jul 19, 2002",3.7,1700,1700,"['Adventure', 'Platform']",1400,100
Stray,"Jul 19, 2022",3.7,1500,1500,"['Adventure', 'Indie']",7700,3400
Paper Mario: The Thousand-Year Door,"Jul 22, 2004",4.4,1300,1300,"['Adventure', 'RPG', 'Turn Based Strategy']",6700,1500
Fire Emblem: Three Houses,"Jul 25, 2019",4,1700,1700,"['Adventure', 'RPG', 'Strategy', 'Tactical', 'Turn Based Strategy']",1200,1500
